[MAP]
resources\scene7\map.txt	15	64
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
15	96	208	15
15	160	208	15
15	224	208	15
[BRICK]
# left	top	right	bottom
1	0	64	512	0
2	0	256	32	64
3	480	256	512	64
4	32	96	96	64
4	160	96	224	64
4	288	96	352	64
5	416	96	480	64
6	32	240	480	224
7	32	224	64	216
7	40	216	56	208
8	96	224	144	216
8	104	216	136	208
8	112	208	144	200
8	120	200	136	192
9	160	224	192	216
9	168	216	184	208
10	224	224	256	216
10	232	216	248	208
11	288	224	336	216
11	296	216	328	208
11	304	208	336	200
11	312	200	328	192
12	352	224	384	216
12	360	216	376	208
13	416	224	464	216
13	424	216	456	208
13	432	208	464	200
13	440	200	456	192
[PORTAL]
1	32	128	64	96	2 	100	1000
1	448	128	480	96	8 	352	160
