[MAP]
resources\scene1\map.txt	14	36
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba
# MARIO
101	56	56	1
[BRICK]
# left	top	right	bottom
1	1024	800	2048	736
2	1024	1024	2048	992
3	1024	864	1312	800
4	1312	864	1344	848
5	1408	864	1424	848
6	1424	864	1504	800
8	1600	864	1616	848
9	1616	864	1696	800
10	1696	864	1725	848
11	1024	992	1056	864
12	1071	992	1103	960
13	1136	992	1168	944
14	1200	992	1231	960
15	1264	992	1290	911
16	1328	992	1358	944
17	1391	992	1423	960
18	1456	992	1488	960
19	1520	992	1552	944
20	1582	992	1616	960
21	1647	992	1679	911
22	1711	992	1743	960
23	1776	992	1807	960
24	1840	992	1871	944
25	1903	992	1936	911
26	1807	864	2048	800
27	1790	864	1807	848
28	1503	864	1536	848
[CHONG_NHON]
1	1312	816	1423	800
2	1503	816	1617	800
3	1695	816	1807	800
[PORTAL]
1	2000	992	2048	864	2
